2 draft-hethmon-mcmurray-ftp-hosts-00.txt  hethmon microsoft
1 draft-carpenter-shanti-00.txt  ibm
1 draft-heer-hip-lhip-00.txt  rwth-aachen
1 draft-jaksa-mn-mbb-00.txt  huawei huawei huawei
3 draft-shin-6lowpan-mobility-00.txt  etri uc uc etri
1 draft-behringer-bgp-session-sec-req-00.txt  cisco
1 draft-santoni-timestampeddata-00.txt  actalis
1 draft-ietf-imss-fc-fcsp-mib-00.txt  cisco cisco cisco
1 draft-templin-autoconf-virtual-00.txt  boeing
9 draft-fedyk-gmpls-ethernet-pbb-te-00.txt  nortel nortel gt UNKNOWN ciena verizon ericsson ericsson UNKNOWN bt UNKNOWN
1 draft-josefsson-password-auth-00.txt  josefsson
1 draft-ohba-pana-netsel-00.txt  toshiba
1 draft-weiler-dnssec-dlv-iana-00.txt  sparta
3 draft-frascone-xml-dictionary-00.txt  cisco bridgewatersystems sun
1 draft-burleigh-cbhe-00.txt  UNKNOWN
3 draft-ietf-radext-rfc3576bis-00.txt  cisco cisco cisco rsa microsoft
2 draft-hoffman-cms-new-asn1-00.txt  vpnc exmsft
1 draft-urien-16ng-security-api-00.txt  enst
1 draft-bjh21-ssh-transport-extension-00.txt  me
1 draft-wahl-schema-eupp-attribute-00.txt  informed-control
2 draft-kaplan-sip-info-events-00.txt  acmepacket ericsson
1 draft-ordogh-lemonade-clientid-00.txt  nokia
2 draft-ietf-tls-suiteb-00.txt  nsa networkresonance
1 draft-fanf-smtp-rfc1845bis-00.txt  dotat
2 draft-oki-pce-pcep-xro-00.txt  ntt olddog
3 draft-berger-l3vpn-ip-tunnels-00.txt  labn juniper cisco
1 draft-roca-rmt-simple-auth-for-alc-norm-00.txt  inria
1 draft-ng-mobopts-multihoming-00.txt  panasonic panasonic
1 draft-niccolini-sipping-spitstop-00.txt  nec nec
2 draft-garcia-sipping-file-event-package-00.txt  nsn nokia
2 draft-daniel-lowpan-mib-00.txt  ajou ajou ajou samsung
3 draft-otani-ccamp-gmpls-lambda-labels-00.txt  kddi kddi fujitsu ericsson
1 draft-ietf-simple-simple-00.txt  cisco
3 draft-norreys-ecrit-authority2individuals-requirements-00.txt  bt nsn columbia
5 draft-mohan-l2vpn-vpls-oam-00.txt  nortel cisco att att uecomm orange-ft
1 draft-dusseault-email-notif-model-00.txt  commerce
2 draft-ietf-mpls-ldp-interarea-00.txt  orange-ft orange-ft juniper
1 draft-velev-netlmm-mip-pmip-ro-00.txt  panasonic panasonic
1 draft-van-beijnum-v6ops-connect-method-00.txt  muada
